time,lon,lat,mode
2016-02-25 17:20:47,116.305329558,39.9622633355,6.0
2016-02-25 17:20:52,116.304291459,39.96193795,6.0
2016-02-25 17:20:57,116.303306418,39.9615378399,6.0
2016-02-25 17:21:02,116.302576689,39.9609371927,6.0
2016-02-25 17:21:07,116.302203108,39.960289565,6.0
2016-02-25 17:21:12,116.302112918,39.959849976,6.0
2016-02-25 17:21:17,116.302129515,39.959590179,6.0
2016-02-25 17:21:22,116.302135969,39.9594002031,6.0
2016-02-25 17:21:27,116.302143009,39.9593365845,6.0
2016-02-25 17:21:32,116.302158097,39.9592880113,6.0
2016-02-25 17:21:37,116.302161785,39.959195056,6.0
2016-02-25 17:21:42,116.302168658,39.9590577186,6.0
2016-02-25 17:21:47,116.302195145,39.9589614943,6.0
2016-02-25 17:21:52,116.302230014,39.9587977538,6.0
2016-02-25 17:21:57,116.302254656,39.9586897111,6.0
2016-02-25 17:22:02,116.302280808,39.9586044252,6.0
2016-02-25 17:22:07,116.302303439,39.9584642379,6.0
2016-02-25 17:22:12,116.302326489,39.9583476875,6.0
2016-02-25 17:22:17,116.302349791,39.9582702807,6.0
2016-02-25 17:22:22,116.302371584,39.9581883476,6.0
2016-02-25 17:22:27,116.30239103,39.9581162213,6.0
2016-02-25 17:22:32,116.302415757,39.9580048258,6.0
2016-02-25 17:22:37,116.30244853,39.9578868505,6.0
2016-02-25 17:22:42,116.302469066,39.9578153529,6.0
2016-02-25 17:22:47,116.302496223,39.9576865649,6.0
2016-02-25 17:22:52,116.302536959,39.9575662008,6.0
2016-02-25 17:22:57,116.302576857,39.9574675458,6.0
2016-02-25 17:23:02,116.302607618,39.957354432,6.0
2016-02-25 17:23:07,116.302644163,39.9571498717,6.0
2016-02-25 17:23:12,116.302727983,39.9568930082,6.0
2016-02-25 17:23:17,116.302781375,39.9566210993,6.0
2016-02-25 17:23:22,116.302796379,39.956561043,6.0
2016-02-25 17:23:28,116.302792691,39.9565457041,6.0
2016-02-25 17:23:33,116.302788416,39.9565212708,6.0
2016-02-25 17:23:38,116.3027942,39.9564990169,6.0
2016-02-25 17:23:45,116.302799396,39.9564930657,6.0
2016-02-25 17:23:50,116.302810377,39.9563400541,6.0
2016-02-25 17:23:55,116.302801911,39.9561713683,6.0
2016-02-25 17:24:00,116.30281046,39.9561402295,6.0
2016-02-25 17:24:06,116.302821441,39.9561380502,6.0
2016-02-25 17:24:11,116.302843485,39.9561168859,6.0
2016-02-25 17:24:16,116.30286553,39.9560366292,6.0
2016-02-25 17:24:28,116.302872822,39.9559474457,6.0
2016-02-25 17:24:33,116.302893944,39.9558591843,6.0
2016-02-25 17:24:38,116.30292085,39.9557068013,6.0
2016-02-25 17:24:43,116.302943062,39.955534176,6.0
2016-02-25 17:24:48,116.302968375,39.9553752551,6.0
2016-02-25 17:24:53,116.302983547,39.9552263087,6.0
